category,title,first_name,last_name,body,tag1,tag2,tag3,topic1,topic2,topic3
Judge,Judge Jacquelyn H. Duffy,Jacquelyn,Duffy,,Department 1,,,,,
Judge,Judge Dodie A. Harman,Dodie,Harman,,Department 3,,,,,
Judge,Judge Craig van Rooyen,Craig,van Rooyen,,Department 5,,,,,
Judge,Judge Hernaldo J. Baltodano,Hernaldo,Baltodano,,Department 6,,,,,
Judge,Judge Timothy S. Covello,Timothy,Covello,,Department 7,,,,,
Judge,Judge Matthew G. Guerrero,Matthew,Guerrero,,Department 8,,,,,
Judge,Judge Jesse J. Marino,Jesse,Marino,,Department 10,,,,,
Judge,Judge Charles S. Crandall,Charles,Crandall,,Department 12,Presiding Juvenile Judge,,,,
Commissioner,Commissioner Leslie H. Kraut,Leslie,Kraut,,Department P-1,Paso Robles,,,,
Judge,Judge Ginger E. Garrett,Ginger,Garrett,,Department 2,SLO,,,,
Judge,Judge Tana L. Coates,Tana,Coates,,Department 9,SLO,,,,
Judge,Judge Linda D. Hurst,Linda,Hurst,,Department P-2,Paso Robles,,,,
Judge,Judge Gayle L. Peron,Gayle,Peron,,Department 4,SLO,,,,
Judge,Judge Rita Federman,Rita,Federman,,Department P-1,Paso Robles,,,,
Commissioner,Commissioner Erin Childs,Erin,Childs,,Department 11,SLO,,,,