file_url,title,category
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Adopt001.pdf","Adopt 001 - Request for Release of Adoption Records","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/ad01.pdf","AD01 - Financial Statement (Stepparent Adoption)","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Guardianship_Attachment_10.pdf","Attachment 10 - Petition for Appointment of Guardian","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_Duplicate_Electronic_Recording.pdf","CO001 - Request for Duplicate Electronic Recording","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvdc04.pdf","CVDC04 - Alternative Dispute Resolution Policy Statement","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvdc05.pdf","CVDC05 - Stip to Use of Alternative Dispute Resolution","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/cv006.pdf","CV006 - Amendment to Complaint","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvud07.pdf","CVUD07 - Declaration re: Rent & Damages (3-Day Notice)","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvdf10.pdf","CVDF10 - Request for Default Setting","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/CV011e.pdf","CV011 - Statement of Venue","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/cvlj12.pdf","CVLJ12 - Request for Arbitration & Order","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/csc01.pdf","CSC01 - Request for Discovery Conference","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/csc02.pdf","CSC02 - Answer to Request for Discover Conference","AD, CO, and CV Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/DQ-001.pdf","DQ-001 - Disqualification of Judge","Disqualification"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Refund2.pdf","Request for Refund","Request for Refund"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Authorization_for_Drop_File-Civil.pdf","Authorization for Drop file - Civil","Request for Attorney Will-Call Drop"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Electronic-Consent.pdf","Electronic Consent","Electronic Consent"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl001.pdf","FL001 - Schedule of Property (Fredman Form)","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl003.pdf","FL003 - Joint At-Issue Memorandum (Family Law)","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl004.pdf","FL004 - Certificate of NonCompliance","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl006.pdf","FL006 - Family Law Mediator's Report","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl007.pdf","FL007 - Stipulation & Order Re: Continuance","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl008.pdf","FL008 - Notice of Intent to Introduce","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl009.pdf","FL009 - Order Appointing Child Custody Evaluator Attachment","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/FL010.pdf","FL010 - Declaration of Notice on Emergency Application for Orders","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/FL011.pdf","FL011 - Application For Publication","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/FL012.pdf","FL012 - Order For Publication Of Summons","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/fl013.pdf","FL013 - Statement of Venue","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Status_and_or_Family_Centered_Case_Resolution_Conference.pdf","FL014- Request for Status or Family Centered Case Resolution Conference","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/order_denying_ex_parte_dvpo.pdf","Order Denying Ex Parte Domestic Violence","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Pretrial_order_2017.pdf","Pre-trial Order - For Family Law Trials","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_label.pdf","Exhibit Labels","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_list.pdf","Exhibit List","FL Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr001.pdf","PR001 - Declaration","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr002.pdf","PR002 - Notice to Creditors","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr003.pdf","PR003 - Report of Status of Administration","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr004.pdf","PR004 - Raised Bid In Open Court","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr005.pdf","PR005 - Order Granting Report on Status of Administration","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_006_SLO.pdf","PR006 - San Luis Obispo First and Final Report of Executor/Administrator","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/pr007.pdf","PR007 - Order on First and Final Report of Executor/Administrator","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_008_SLO.pdf","PR008 - Order Appointing Counsel for Conservatee","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_009_SLO.pdf","PR009 - LPS Conservatorship Petition","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_010_SLO.pdf","PR010 - LPS Conservatorship Doctor declaration","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_011_SLO.pdf","PR011 - LPS Conservatorship Notice","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_012_SLO.pdf","PR012 - LPS Conservatorship Proof of Service","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_013_2_SLO.pdf","PR013 - LPS Conservatorship Citation","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_014_SLO.pdf","PR014 - LPS Conservatorship Order","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR015_updated.pdf","PR015 - LPS Letters of Conservatorship","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_016_SLO.pdf","PR016 - Petition for visitation - guardianship","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_017_SLO.pdf","PR017 - Order for Visitation","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_018_SLO.pdf","PR018 - Verification","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_019_SLO.pdf","PR019 - Declaration of Diligent search","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_020_SLO.pdf","PR020 - Objection","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_021_SLO.pdf","PR021 - Notice to Franchise Tax Board","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_022_SLO.pdf","PR022 - Notice to Department of Health","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_023_SLO.pdf","PR023 - Notice to Victim's Compensation Board","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR_025_SLO.pdf","PR025 - Petition for order to dispense with accounting","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR0_26_SLO.pdf","PR026 - Order on Petition for order to dispense with accounting","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/PR027_Regional_Center_Report.pdf","PR027 - Regional Center Report","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc001.pdf","SC001 - Request for Dismissal - Small Claims","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc002.pdf","SC002 - Declaration re: Default in Payments (After Judgment)","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc003.pdf","SC003 - Request to Enter Satisfaction of Judgment","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/sc004.pdf","SC004 - Declaration of Default in Payments (After Mediation)","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Plaintiffs_Claim_SC100.pdf","SC100 - Plaintiff's Claim and Order to Go to Small Claims Court","PR and SC Series"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/W001_Petition_for_Alt_Writ_non_DUI.pdf","W001 - Petition for Alternative Writ of Mandate","Non-DUI Petitions"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/W002_Alt_writ_and_OSC_non_DUI.pdf","W002 - Alternative Writ of Mandate Order and OSC","Non-DUI Petitions"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/W003_Ord_staying_suspension_non_DUI.pdf","W003 - Order Staying Suspension or Revocation","Non-DUI Petitions"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/W004_Petition_for_Alt_Writ_DUI.pdf","W004 - Petition for Alternative Writ of Mandate","DUI Petitions"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/W005_Alt_writ_and_OSC_DUI.pdf","W005 - Alternative Writ of Mandate Order and OSC","DUI Petitions"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/W006_Ord_staying_suspension_DUI.pdf","W006 - Order Staying Suspension or Revocation","DUI Petitions"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/jv220_000.pdf","Application for Order for Psychotropic Medication - Juvenile","Courtroom Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_label.pdf","Exhibit Labels","Courtroom Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/exhibit_list.pdf","Exhibit List","Courtroom Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request-for-duplicate-electronic-Rec.pdf","Request for Duplicate Electronic Recording","Courtroom Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Ancillary_Services.pdf","Request for Ancillary Services","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_Case_Info_3.pdf","Request for Case Information","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_for_Bulk_Case_Information_May_2012_Fillable.pdf","Request for Bulk Case Information","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Order_for_Disposition_of_Property.pdf","Order for Disposition of Property","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Request_Duplicate_Electronic_Recording.pdf","Request for Duplicate Electronic Recording ","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Petition_for_Restricted_License_2.pdf","Petition for Restricted License","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/CHANGE_OF_ADDRESS.pdf","Change of Address","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/FTA_Collections_Petition.pdf","Failure To Appear Collections Petition","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Petition_for_Reduction_to_Misdemeanor_Resentencing.pdf","Petition for Reduction to Misdemeanor - Resentencing","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Motion_to_Reduce_Felony_to_Misdemeanor_Probation.pdf","Motion to Reduce Felony to Misdemeanor (Probation)","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Response_and_Order_on_Petition_for_Resentencing.pdf","Response and Order on Petition for Resentencing","Criminal Operations"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Traffic_School_Petition.pdf","Traffic School Petition","Traffic Forms"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Infraction_FTA_Petition.pdf","Infraction Failure To Appear Petition","Traffic Forms"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Petition_to_Vacate_the_Civil_Assessment_FTP.pdf","Petition to Vacate the Civil Assessment (Failure To Pay)","Traffic Forms"
"http://www.courts.ca.gov/documents/tr200.pdf","TR200 - Instructions for Trial by Written Declaration","Traffic Forms"
"http://www.courts.ca.gov/documents/tr205.pdf","TR205 - Request for Trial by Written Declaration","Traffic Forms"
"http://www.courts.ca.gov/documents/tr220.pdf","TR220 - Request for New Trial (Trial De Novo)","Traffic Forms"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Authorization_to_Apply_Bail.pdf","2510-14 - Authorization to Apply Bail (revised 5/1/1999)","Traffic Forms"
"https://www.slo.courts.ca.gov/documents/san-luis-obispo/Traffic_Counter_Arraignment_by_Counsel_Form_2520-163_TS.PDF","2520-163T - Traffic Counter Arraignments by Counsel (revised 3/14/2017)","Traffic Forms"
